iter	Passed	Remaining
434	1552	2017
435	1556	2012
436	1559	2008
437	1562	2004
438	1565	2000
439	1568	1995
440	1571	1991
441	1574	1987
442	1577	1982
443	1580	1978
444	1583	1974
445	1586	1970
446	1589	1966
447	1592	1961
448	1595	1957
449	1598	1953
450	1601	1949
451	1604	1944
452	1607	1940
453	1609	1936
454	1613	1932
455	1616	1928
456	1619	1924
457	1622	1920
458	1626	1916
459	1629	1912
460	1631	1908
461	1635	1904
462	1638	1900
463	1641	1896
464	1645	1893
465	1648	1889
466	1651	1884
467	1654	1881
468	1657	1876
469	1661	1873
470	1664	1869
471	1667	1865
472	1670	1861
473	1674	1857
474	1677	1853
475	1680	1849
476	1683	1845
477	1686	1841
478	1688	1836
479	1692	1833
480	1695	1829
481	1698	1825
482	1701	1821
483	1706	1818
484	1709	1815
485	1715	1813
486	1734	1826
487	1739	1824
488	1746	1825
489	1751	1823
490	1758	1823
491	1769	1827
492	1774	1825
493	1777	1821
494	1785	1821
495	1792	1821
496	1797	1819
497	1801	1816
498	1807	1814
499	1813	1813
500	1817	1810
501	1821	1807
502	1827	1805
503	1831	1802
504	1834	1798
505	1840	1796
506	1844	1793
507	1848	1790
508	1852	1787
509	1857	1785
510	1861	1781
511	1868	1780
512	1874	1779
513	1877	1775
514	1882	1772
515	1886	1769
516	1890	1765
517	1894	1762
518	1897	1758
519	1901	1755
520	1905	1751
521	1908	1747
522	1912	1744
523	1915	1740
524	1921	1738
525	1925	1734
526	1930	1732
527	1934	1728
528	1936	1724
529	1940	1720
530	1943	1716
531	1946	1712
532	1950	1708
533	1953	1704
534	1956	1700
535	1959	1696
536	1962	1691
537	1965	1687
538	1968	1683
539	1971	1679
540	1974	1675
541	1978	1671
542	1981	1667
543	1984	1663
544	1987	1659
545	1990	1655
546	1993	1651
547	1997	1647
548	2000	1643
549	2003	1639
550	2006	1635
551	2010	1631
552	2013	1627
553	2017	1623
554	2021	1620
555	2025	1617
556	2029	1614
557	2032	1609
558	2036	1606
559	2039	1602
560	2042	1598
561	2045	1594
562	2048	1590
563	2051	1586
564	2054	1582
565	2058	1578
566	2061	1574
567	2064	1570
568	2067	1566
569	2070	1562
570	2074	1558
571	2077	1554
572	2080	1550
573	2083	1546
574	2086	1542
575	2089	1538
576	2092	1534
577	2095	1530
578	2098	1525
579	2101	1521
580	2104	1517
581	2107	1513
582	2111	1510
583	2114	1505
584	2117	1501
585	2120	1498
586	2124	1494
587	2128	1491
588	2131	1487
589	2134	1483
590	2138	1479
591	2142	1476
592	2144	1472
593	2148	1468
594	2151	1464
595	2154	1460
596	2158	1456
597	2161	1452
598	2164	1448
599	2167	1444
600	2170	1441
601	2174	1437
602	2177	1433
603	2180	1429
604	2183	1425
605	2186	1421
606	2189	1417
607	2192	1413
608	2195	1409
609	2198	1405
610	2201	1401
611	2206	1398
612	2209	1394
613	2213	1391
614	2218	1388
615	2221	1384
616	2225	1381
617	2228	1377
618	2231	1373
619	2236	1370
620	2238	1366
621	2242	1362
622	2245	1359
623	2249	1355
624	2252	1351
625	2255	1347
626	2259	1343
627	2262	1340
628	2265	1336
629	2268	1332
630	2272	1328
631	2275	1324
632	2278	1321
633	2282	1317
634	2285	1313
635	2288	1309
636	2291	1305
637	2294	1301
638	2298	1298
639	2301	1294
640	2304	1290
641	2307	1286
642	2312	1283
643	2315	1280
644	2318	1276
645	2321	1272
646	2325	1268
647	2328	1264
648	2331	1261
649	2334	1257
650	2337	1253
651	2340	1249
652	2343	1245
653	2347	1241
654	2350	1237
655	2353	1234
656	2356	1230
657	2359	1226
658	2362	1222
659	2364	1218
660	2367	1214
661	2370	1210
662	2373	1206
663	2376	1202
664	2379	1198
665	2382	1194
666	2385	1190
667	2388	1186
668	2390	1182
669	2393	1178
670	2396	1175
671	2399	1171
672	2402	1167
673	2405	1163
674	2409	1160
675	2412	1156
676	2415	1152
677	2418	1148
678	2421	1144
679	2424	1140
680	2427	1137
681	2430	1133
682	2433	1129
683	2436	1125
684	2439	1121
685	2442	1117
686	2445	1114
687	2451	1111
688	2455	1108
689	2459	1105
690	2464	1101
691	2467	1098
692	2471	1094
693	2475	1091
694	2479	1087
695	2483	1084
696	2487	1081
697	2490	1077
698	2493	1073
699	2497	1070
700	2500	1066
701	2504	1063
702	2508	1059
703	2511	1056
704	2514	1052
705	2519	1049
706	2522	1045
707	2526	1042
708	2530	1038
709	2533	1035
710	2537	1031
711	2540	1027
712	2544	1024
713	2548	1020
714	2552	1017
715	2554	1013
716	2558	1009
717	2561	1006
718	2565	1002
719	2568	998
720	2571	995
721	2575	991
722	2578	987
723	2582	984
724	2585	980
725	2588	977
